,Date,Open,Close
1853,2017-11-06,20.466667,20.185333
1854,2017-11-07,20.068001,20.403334
1855,2017-11-08,20.366667,20.292667
1856,2017-11-09,20.166668,20.199333
1857,2017-11-10,20.166668,20.199333
1858,2017-11-13,20.008667,21.026667
1859,2017-11-14,21.0,20.58
1860,2017-11-15,20.400667,20.753332
1861,2017-11-16,20.932667,20.833332
1862,2017-11-17,21.711332,21.003332
1863,2017-11-20,20.919333,20.582666
1864,2017-11-21,20.724001,21.187332
1865,2017-11-22,21.118,20.84
1866,2017-11-24,20.919333,21.036667
1867,2017-11-27,20.883333,21.120667
1868,2017-11-28,21.090668,21.17
1869,2017-11-29,21.153334,20.502666
1870,2017-11-30,20.570667,20.59
1871,2017-12-01,20.362667,20.435333
1872,2017-12-04,20.433332,20.346666
1873,2017-12-05,20.133333,20.246668
1874,2017-12-06,20.006666,20.884001
1875,2017-12-07,20.799999,20.749332
1876,2017-12-08,20.973333,21.008667
1877,2017-12-11,20.975332,21.927334
1878,2017-12-12,22.030001,22.735332
1879,2017-12-13,22.728666,22.601999
1880,2017-12-14,22.733999,22.525999
1881,2017-12-15,22.802668,22.896667
1882,2017-12-18,22.993334,22.591333
1883,2017-12-19,22.684,22.073334
1884,2017-12-20,22.179333,21.931999
1885,2017-12-21,21.972668,22.110666
1886,2017-12-22,21.967333,21.68
1887,2017-12-26,21.588667,21.152666
1888,2017-12-27,21.066668,20.775999
1889,2017-12-28,20.783333,21.024
1890,2017-12-29,21.078667,20.756666
1891,2018-01-02,20.799999,21.368668
1892,2018-01-03,21.4,21.15
1893,2018-01-04,20.858,20.974667
1894,2018-01-05,21.108,21.105333
1895,2018-01-08,21.066668,22.427334
1896,2018-01-09,22.344,22.246
1897,2018-01-10,22.146667,22.32
1898,2018-01-11,22.349333,22.530001
1899,2018-01-12,22.575333,22.414667
1900,2018-01-16,22.502666,22.670668
1901,2018-01-17,22.698,23.143999
1902,2018-01-18,23.044666,22.971333
1903,2018-01-19,23.0,23.334667
1904,2018-01-22,23.293333,23.437332
1905,2018-01-23,24.0,23.519333
1906,2018-01-24,23.638666,23.059334
1907,2018-01-25,23.218,22.509333
1908,2018-01-26,22.766666,22.856667
1909,2018-01-29,22.656668,23.302
1910,2018-01-30,23.009333,23.054667
1911,2018-01-31,23.167334,23.620667
1912,2018-02-01,23.4,23.283333
1913,2018-02-02,23.229334,22.916668
1914,2018-02-05,22.531334,22.208668
1915,2018-02-06,21.680668,22.264668
1916,2018-02-07,22.599333,23.0
1917,2018-02-08,22.887333,21.015333
1918,2018-02-09,21.328667,20.694668
1919,2018-02-12,21.075333,21.048668
1920,2018-02-13,21.001333,21.577333
1921,2018-02-14,21.389334,21.487333
1922,2018-02-15,21.633333,22.271334
1923,2018-02-16,22.166668,22.365999
1924,2018-02-20,22.298,22.318001
1925,2018-02-21,22.402,22.219999
1926,2018-02-22,22.368668,23.077999
1927,2018-02-23,23.188667,23.469999
1928,2018-02-26,23.566668,23.827999
1929,2018-02-27,23.75,23.399332
1930,2018-02-28,23.504667,22.870667
1931,2018-03-01,23.000668,22.062
1932,2018-03-02,21.798668,22.341333
1933,2018-03-05,22.159332,22.223333
1934,2018-03-06,22.25,21.879999
1935,2018-03-07,21.695999,22.153334
1936,2018-03-08,22.190666,21.940001
1937,2018-03-09,21.606667,21.811333
1938,2018-03-12,21.907333,23.034
1939,2018-03-13,21.907333,22.789333
1940,2018-03-14,22.450666,21.775333
1941,2018-03-15,21.958668,21.706667
1942,2018-03-16,21.528667,21.423332
1943,2018-03-19,21.1,20.903999
1944,2018-03-20,20.991333,20.703333
1945,2018-03-21,20.683332,21.101999
1946,2018-03-22,20.926001,20.606667
1947,2018-03-23,20.75,20.102667
1948,2018-03-26,20.489332,20.278667
1949,2018-03-27,20.266666,18.612
1950,2018-03-28,17.638666,17.185333
1951,2018-03-29,17.099333,17.742001
1952,2018-04-02,17.084,16.832001
1953,2018-04-03,17.988001,17.835333
1954,2018-04-04,16.851999,19.129333
1955,2018-04-05,19.289333,20.381332
1956,2018-04-06,20.066668,19.953333
1957,2018-04-09,20.024668,19.310667
1958,2018-04-10,19.931334,20.313334
1959,2018-04-11,20.049334,20.062
1960,2018-04-12,20.154667,19.605333
1961,2018-04-13,20.24,20.022667
1962,2018-04-16,19.933332,19.414
1963,2018-04-17,19.257999,19.179333
1964,2018-04-18,19.405333,19.556667
1965,2018-04-19,19.405333,20.005333
1966,2018-04-20,19.677999,19.349333
1967,2018-04-23,19.419333,18.891333
1968,2018-04-24,19.0,18.897333
1969,2018-04-25,18.9,18.712667
1970,2018-04-26,18.583332,19.032
1971,2018-04-27,19.024668,19.605333
1972,2018-04-30,19.573999,19.593332
1973,2018-05-01,19.567333,19.994667
1974,2018-05-02,19.904667,20.076668
1975,2018-05-03,18.586,18.963333
1976,2018-05-04,18.866667,19.606001
1977,2018-05-07,19.833332,20.184668
1978,2018-05-08,20.053333,20.131332
1979,2018-05-09,20.027332,20.456667
1980,2018-05-10,20.5,20.334667
1981,2018-05-11,20.513332,20.070667
1982,2018-05-14,20.221333,19.464666
1983,2018-05-15,19.000668,18.945333
1984,2018-05-16,18.922001,19.098667
1985,2018-05-17,19.059999,18.969334
1986,2018-05-18,18.976667,18.454666
1987,2018-05-21,18.755333,18.966
1988,2018-05-22,19.184,18.334
1989,2018-05-23,18.517332,18.604668
1990,2018-05-24,18.559999,18.523333
1991,2018-05-25,18.508667,18.59
1992,2018-05-29,18.567333,18.917334
1993,2018-05-30,18.886,19.448
1994,2018-05-31,19.147333,18.982
1995,2018-06-01,19.057333,19.454666
1996,2018-06-04,19.622667,19.782667
1997,2018-06-05,19.846666,19.408667
1998,2018-06-06,20.033333,21.299999
1999,2018-06-07,21.076668,21.072666
2000,2018-06-08,21.266666,21.177334
2001,2018-06-11,21.500668,22.139999
2002,2018-06-12,22.98,22.851334
2003,2018-06-13,23.114,22.985332
2004,2018-06-14,23.175333,23.848
2005,2018-06-15,23.589333,23.878
2006,2018-06-18,23.693333,24.722
2007,2018-06-19,24.344,23.503332
2008,2018-06-20,23.869333,24.148001
2009,2018-06-21,24.133333,23.167334
2010,2018-06-22,23.436001,22.242001
2011,2018-06-25,22.007999,22.200666
2012,2018-06-26,22.403334,22.799999
2013,2018-06-27,23.0,22.966667
2014,2018-06-28,23.243999,23.328667
2015,2018-06-29,23.555332,22.863333
2016,2018-07-02,24.004667,22.337999
2017,2018-07-03,22.116667,20.724001
2018,2018-07-05,20.917334,20.610666
2019,2018-07-06,20.33,20.593332
2020,2018-07-09,20.799334,21.233999
2021,2018-07-10,21.637333,21.497999
2022,2018-07-11,21.053333,21.264
2023,2018-07-12,21.428667,21.114
2024,2018-07-13,21.038668,21.257999
2025,2018-07-16,20.780666,20.673332
2026,2018-07-17,20.587334,21.512667
2027,2018-07-18,21.666668,21.59
2028,2018-07-19,21.088667,21.348667
2029,2018-07-20,21.415333,20.905333
2030,2018-07-23,20.122667,20.213333
2031,2018-07-24,20.294666,19.828667
2032,2018-07-25,19.782667,20.582666
2033,2018-07-26,20.323334,20.443333
2034,2018-07-27,20.483334,19.812
2035,2018-07-30,19.726667,19.344667
2036,2018-07-31,19.483334,19.875999
2037,2018-08-01,19.865999,20.056
2038,2018-08-02,21.896,23.302668
2039,2018-08-03,23.187332,23.211332
2040,2018-08-06,23.030666,22.799334
2041,2018-08-07,22.922667,25.304667
2042,2018-08-08,24.606001,24.689333
2043,2018-08-09,24.370001,23.496668
2044,2018-08-10,23.6,23.699333
2045,2018-08-13,24.075333,23.760668
2046,2018-08-14,23.896667,23.176001
2047,2018-08-15,22.794001,22.579332
2048,2018-08-16,22.660667,22.363333
2049,2018-08-17,21.566668,20.366667
2050,2018-08-20,19.446667,20.562668
2051,2018-08-21,20.707333,21.459999
2052,2018-08-22,21.391333,21.442667
2053,2018-08-23,21.275999,21.34
2054,2018-08-24,21.379999,21.521334
2055,2018-08-27,21.200001,21.284666
2056,2018-08-28,21.227333,20.790667
2057,2018-08-29,20.684668,20.334
2058,2018-08-30,20.150667,20.209999
2059,2018-08-31,20.133333,20.110666
2060,2018-09-04,19.796,19.263332
2061,2018-09-05,19.003332,18.716
2062,2018-09-06,18.986668,18.73
2063,2018-09-07,17.34,17.549334
2064,2018-09-10,18.217333,19.033333
2065,2018-09-11,18.631332,18.629333
2066,2018-09-12,18.762667,19.369333
2067,2018-09-13,19.201332,19.297333
2068,2018-09-14,19.250668,19.68
2069,2018-09-17,19.336,19.656
2070,2018-09-18,19.779333,18.997334
2071,2018-09-19,18.700666,19.934668
2072,2018-09-20,20.237333,19.888666
2073,2018-09-21,19.846666,19.940001
2074,2018-09-24,19.898666,19.978666
2075,2018-09-25,20.0,20.066
2076,2018-09-26,20.127333,20.638666
2077,2018-09-27,20.860001,20.501333
2078,2018-09-28,18.017332,17.651333
2079,2018-10-01,20.384666,20.713333
2080,2018-10-02,20.93,20.068001
2081,2018-10-03,20.222,19.653334
2082,2018-10-04,19.596666,18.788668
2083,2018-10-05,18.309999,17.463333
2084,2018-10-08,17.634666,16.704
2085,2018-10-09,17.016666,17.52
2086,2018-10-10,17.640667,17.125334
2087,2018-10-11,17.168667,16.815332
2088,2018-10-12,17.4,17.252001
2089,2018-10-15,17.270666,17.306
2090,2018-10-16,17.713333,18.439333
2091,2018-10-17,18.826668,18.118668
2092,2018-10-18,17.952667,17.594
2093,2018-10-19,17.826,17.333332
2094,2018-10-22,17.378668,17.396667
2095,2018-10-23,17.591333,19.609333
2096,2018-10-24,20.07,19.233334
2097,2018-10-25,21.148001,20.990667
2098,2018-10-26,20.549999,22.059999
2099,2018-10-29,22.497999,22.323334
2100,2018-10-30,21.892668,21.993334
2101,2018-10-31,22.169333,22.488001
2102,2018-11-01,22.550667,22.952
2103,2018-11-02,22.916,23.094
2104,2018-11-05,22.700001,22.76
2105,2018-11-06,22.604668,22.737333
2106,2018-11-07,22.889334,23.210667
2107,2018-11-08,23.233334,23.426666
2108,2018-11-09,23.266666,23.367332
2109,2018-11-12,23.224667,22.085333
2110,2018-11-13,22.210667,22.582001
2111,2018-11-14,22.846666,22.933332
2112,2018-11-15,22.822001,23.229334
2113,2018-11-16,23.012667,23.620667
2114,2018-11-19,23.756001,23.564667
2115,2018-11-20,22.783333,23.166
2116,2018-11-21,23.466667,22.546
2117,2018-11-23,22.290001,21.722
2118,2018-11-26,21.666668,23.066668
2119,2018-11-27,22.67,22.927999
2120,2018-11-28,23.066,23.191334
2121,2018-11-29,23.133333,22.744667
2122,2018-11-30,22.788668,23.365334
2123,2018-12-03,24.0,23.899332
2124,2018-12-04,23.736668,23.98
2125,2018-12-06,23.733999,24.204
2126,2018-12-07,24.6,23.864668
2127,2018-12-10,24.0,24.343332
2128,2018-12-11,24.660667,24.450666
2129,2018-12-12,24.628,24.440001
2130,2018-12-13,24.676666,25.119333
2131,2018-12-14,25.0,24.380667
2132,2018-12-17,24.133333,23.228001
2133,2018-12-18,23.369333,22.468666
2134,2018-12-19,22.506666,22.198
2135,2018-12-20,21.803333,21.025333
2136,2018-12-21,21.16,21.318001
2137,2018-12-24,20.9,19.692667
2138,2018-12-26,20.0,21.739332
2139,2018-12-27,21.322666,21.075333
2140,2018-12-28,21.540001,22.257999
2141,2018-12-31,22.519333,22.186666
2142,2019-01-02,20.406668,20.674667
2143,2019-01-03,20.466667,20.024
2144,2019-01-04,20.4,21.179333
2145,2019-01-07,21.448,22.330667
2146,2019-01-08,22.797333,22.356667
2147,2019-01-09,22.366667,22.568666
2148,2019-01-10,22.293333,22.997999
2149,2019-01-11,22.806,23.150667
2150,2019-01-14,22.825333,22.293333
2151,2019-01-15,22.333332,22.962
2152,2019-01-16,22.985332,23.07
2153,2019-01-17,23.080667,23.153999
2154,2019-01-18,21.533333,20.150667
2155,2019-01-22,20.321333,19.927999
2156,2019-01-23,19.5,19.172667
2157,2019-01-24,18.868668,19.434
2158,2019-01-25,19.625999,19.802668
2159,2019-01-28,19.527332,19.758667
2160,2019-01-29,19.684668,19.830667
2161,2019-01-30,20.030001,20.584667
2162,2019-01-31,20.066668,20.468
2163,2019-02-01,20.361334,20.813999
2164,2019-02-04,20.865334,20.859333
2165,2019-02-05,20.832666,21.423332
2166,2019-02-06,21.306,21.148001
2167,2019-02-07,20.886667,20.500668
2168,2019-02-08,20.455334,20.386667
2169,2019-02-11,20.773333,20.856001
2170,2019-02-12,21.08,20.787333
2171,2019-02-13,20.823334,20.544666
2172,2019-02-14,20.225332,20.251333
2173,2019-02-15,20.299999,20.525333
2174,2019-02-19,20.437332,20.375999
2175,2019-02-20,20.294001,20.170668
2176,2019-02-21,20.120667,19.415333
2177,2019-02-22,19.632668,19.647333
2178,2019-02-25,19.860666,19.917999
2179,2019-02-26,19.481333,19.857332
2180,2019-02-27,20.118668,20.982668
2181,2019-02-28,21.261333,21.325333
2182,2019-03-01,20.462667,19.652666
2183,2019-03-04,19.874666,19.024
2184,2019-03-05,18.799999,18.436001
2185,2019-03-06,18.431999,18.416
2186,2019-03-07,18.589333,18.439333
2187,2019-03-08,18.460667,18.942667
2188,2019-03-11,18.901333,19.394667
2189,2019-03-12,19.099333,18.890667
2190,2019-03-13,18.926666,19.264
2191,2019-03-14,19.496668,19.330667
2192,2019-03-15,18.900667,18.362
2193,2019-03-18,18.4,17.966
2194,2019-03-19,17.833332,17.831333
2195,2019-03-20,17.979334,18.24
2196,2019-03-21,18.173332,18.268
2197,2019-03-22,18.172001,17.635332
2198,2019-03-25,17.313999,17.361334
2199,2019-03-26,17.629333,17.851334
2200,2019-03-27,17.916668,18.322001
2201,2019-03-28,18.477333,18.574667
2202,2019-03-29,18.58,18.657333
2203,2019-04-01,18.841333,19.278667
2204,2019-04-02,19.219999,19.058666
2205,2019-04-03,19.154667,19.454
2206,2019-04-04,17.459333,17.851999
2207,2019-04-05,17.990667,18.330667
2208,2019-04-08,18.512667,18.213333
2209,2019-04-09,18.110001,18.153999
2210,2019-04-10,18.449333,18.403999
2211,2019-04-11,17.886667,17.894667
2212,2019-04-12,18.014668,17.846666
2213,2019-04-15,17.908667,17.758667
2214,2019-04-16,17.716667,18.224001
2215,2019-04-17,18.316668,18.082001
2216,2019-04-18,18.082001,18.217333
2217,2019-04-22,17.933332,17.516666
2218,2019-04-23,17.343332,17.593332
2219,2019-04-24,17.59,17.243999
2220,2019-04-25,17.0,16.508667
2221,2019-04-26,16.433332,15.676
2222,2019-04-29,15.724,16.098
2223,2019-04-30,16.137333,15.912667
2224,2019-05-01,15.923333,15.600667
2225,2019-05-02,16.368,16.273333
2226,2019-05-03,16.257334,17.002001
2227,2019-05-06,16.667999,17.022667
2228,2019-05-07,17.120001,16.470667
2229,2019-05-08,16.462667,16.322666
2230,2019-05-09,16.133333,16.132
2231,2019-05-10,15.983333,15.968
2232,2019-05-13,15.467333,15.134
2233,2019-05-14,15.286667,15.487333
2234,2019-05-15,15.288,15.463333
2235,2019-05-16,15.299333,15.222
2236,2019-05-17,14.797333,14.068667
2237,2019-05-20,13.52,13.690667
2238,2019-05-21,13.184,13.672
2239,2019-05-22,13.273333,12.848667
